ID,Length,GC_Content
BFOB01000018.1,1751,43.86065105653912
NZ_JAMSHV010000369.1,230,62.60869565217392
NZ_VFYT01000041.1,267,50.187265917603
NZ_JAUCLC010000223.1,474,51.47679324894515
NZ_QZWA01000423.1,317,49.21135646687697
NZ_VKYH01000130.1,313,58.78594249201278
NZ_WJGC01000209.1,278,39.568345323741006
NZ_VDDM01000397.1,241,51.037344398340245
NZ_VDDM01000254.1,241,50.62240663900415
NZ_QWNL01000169.1,1281,53.78610460577674
NZ_PXLT01000452.1,230,56.52173913043478
NZ_UIMI01000098.1,404,53.21782178217822
NZ_UIMM01000082.1,404,53.21782178217822
NZ_UIKF01000110.1,345,51.30434782608696
NZ_UIIK01000146.1,319,50.15673981191222
NZ_NJKQ01000156.1,345,51.30434782608696
NZ_CDQY01000268.1,1957,50.383239652529376
NZ_AZBZ01000307.1,228,52.63157894736842
NZ_PGKZ01000379.1,424,50.943396226415096
NZ_JAJNPL010000139.1,272,44.11764705882353
WSIG01000534.1,481,43.24324324324324
WSIJ01000343.1,794,54.53400503778337
VZEG01000574.1,779,51.47625160462132
VTVU01000709.1,1696,50.117924528301884
VTVU01000775.1,1567,52.13784301212508
VTVU01001116.1,872,52.40825688073395
VTVS01000598.1,1993,50.67737079779228
VTWB01000880.1,1080,53.98148148148149
QYOH01000268.1,1302,39.247311827956985
VSBS01001006.1,1817,50.687947165657675
VSBS01001719.1,1009,53.617443012884046
VSBS01002136.1,726,50.964187327823694
VCLZ01000187.1,251,41.832669322709165
RRWE01000075.1,686,54.66472303206997
RDDM01001373.1,679,52.724594992636234
RDDM01001374.1,679,52.724594992636234
QZWA01000423.1,317,49.21135646687697
QWNV01001428.1,1642,53.22777101096224
QWNL01000169.1,1281,53.78610460577674
QXHA01000278.1,908,49.669603524229075
QXHA01000653.1,212,58.01886792452831
PNRN01000418.1,330,44.84848484848485
QOFG01000257.1,678,55.014749262536874
QOEN01000147.1,678,55.014749262536874
QMKN01000315.1,269,29.739776951672862
PVOT01000631.1,1602,52.05992509363296
PTNY01000777.1,1212,51.98019801980198
PTNY01001592.1,581,49.74182444061962
POSY01000247.1,275,67.63636363636364
NWSA01001215.1,1416,46.75141242937853
NSEH01000513.1,987,40.52684903748733
NSEG01000063.1,590,38.474576271186436
NSEG01000567.1,945,41.058201058201064
LYYB01001385.1,350,56.285714285714285
LYYB01002058.1,350,56.285714285714285
LYCC01003203.1,663,54.75113122171946
LYCC01003217.1,663,55.052790346908
LYAA01000061.1,993,34.340382678751254
LYAA01000929.1,1501,36.908727514990005
LYAA01001061.1,403,38.46153846153847
NBCM01001023.1,398,39.949748743718594
NAFP01000067.1,462,41.125541125541126
LGLZ01000021.1,1602,53.99500624219725
MQME01000213.1,402,41.7910447761194
MOKM01000371.1,869,32.91139240506329
MOKM01000528.1,872,35.55045871559633
MOHK01000416.1,1644,38.68613138686132
MOFV01000270.1,1176,37.15986394557823
AZCA01000227.1,900,54.333333333333336
AZCA01000274.1,562,53.91459074733096
KJ652913.1,1209,48.38709677419355
GQ167140.1,894,51.78970917225951
GQ167139.1,894,51.34228187919463
GQ167138.1,894,51.23042505592841
GQ167137.1,894,51.45413870246085
GQ167136.1,894,51.34228187919463
GQ167135.1,894,51.23042505592841
GQ167134.1,894,51.67785234899329
GQ167133.1,894,51.118568232662184
GQ167132.1,894,51.118568232662184
GQ167131.1,894,51.006711409395976
GQ167130.1,894,51.23042505592841
GQ167129.1,894,51.23042505592841
GQ167128.1,894,51.118568232662184
GQ167127.1,894,51.006711409395976
GQ167126.1,894,51.23042505592841
GQ167125.1,894,51.67785234899329
GQ167124.1,894,51.67785234899329
GQ167123.1,894,51.67785234899329
GQ167122.1,894,51.67785234899329
GQ167121.1,894,51.118568232662184
GQ167120.1,894,51.56599552572707
GQ167119.1,894,51.67785234899329
GQ167118.1,894,51.90156599552572
GQ167117.1,894,51.90156599552572
GQ167116.1,894,51.90156599552572
GQ167115.1,894,51.67785234899329
GQ167114.1,894,51.90156599552572
GQ167113.1,894,51.34228187919463
GQ167112.1,894,52.013422818791945
GQ167111.1,894,51.90156599552572
GQ167110.1,894,51.78970917225951
GQ167109.1,894,52.12527964205817
GQ167108.1,894,52.12527964205817
GQ167107.1,894,52.12527964205817
GQ167106.1,894,52.12527964205817
GQ167105.1,894,51.56599552572707
GQ167104.1,894,51.90156599552572
GQ167103.1,894,52.12527964205817
GQ167102.1,894,51.34228187919463
GQ167101.1,894,51.34228187919463
GQ167100.1,894,51.34228187919463
GQ167099.1,894,51.45413870246085
GQ167098.1,894,51.34228187919463
GQ167097.1,894,51.34228187919463
GQ167096.1,894,51.34228187919463
GQ167095.1,894,51.45413870246085
GQ167094.1,894,51.45413870246085
GQ167093.1,894,51.90156599552572
GQ167092.1,894,51.23042505592841
GQ167091.1,894,51.90156599552572
GQ167090.1,894,51.90156599552572
GQ167089.1,894,51.23042505592841
GQ167088.1,894,51.23042505592841
GQ167087.1,894,51.45413870246085
GQ167086.1,894,51.45413870246085
GQ167085.1,894,51.56599552572707
GQ167084.1,894,51.90156599552572
GQ167083.1,894,51.23042505592841
GQ167082.1,894,51.90156599552572
GQ167081.1,894,51.90156599552572
GQ167080.1,894,51.90156599552572
GQ167079.1,894,51.90156599552572
GQ167078.1,894,51.90156599552572
GQ167077.1,894,51.90156599552572
GQ167076.1,894,51.90156599552572
GQ167075.1,894,51.90156599552572
GQ167074.1,894,51.67785234899329
GQ167073.1,894,51.90156599552572
GQ167072.1,894,52.013422818791945
GQ167071.1,894,51.90156599552572
GQ167070.1,894,51.90156599552572
GQ167069.1,894,51.90156599552572
EU904569.1,1125,54.31111111111111
EU904568.1,1125,54.31111111111111
EU904567.1,1125,54.31111111111111
EU904566.1,1125,54.31111111111111
EU904565.1,1125,54.31111111111111
EU898869.1,837,54.360812425328554
EU898868.1,837,54.360812425328554
EU898867.1,837,54.360812425328554
EU898866.1,837,54.360812425328554
EU898865.1,837,54.360812425328554
EU905469.1,834,48.92086330935252
EU905468.1,834,48.92086330935252
EU905467.1,834,48.92086330935252
EU905466.1,834,48.92086330935252
EU905465.1,834,48.92086330935252
J04216.1,1997,53.329994992488736
OQ354675.1,150,53.333333333333336
MH208303.1,562,48.754448398576514
MK176600.1,365,50.68493150684932
JF806497.1,1282,50.390015600624025
AY230883.1,405,57.53086419753086
NG_047765.1,1421,49.89444053483462
KT033766.1,362,46.408839779005525
KP965724.1,590,48.644067796610166
KM489072.1,960,51.5625
X03988.1,1906,42.392444910807974
NG_047768.1,1460,37.945205479452056
NG_052372.1,1706,47.18640093786635
NG_047769.1,1460,38.04945054945055
NG_047766.1,1421,50.10555946516537
NZ_JAVUPC010000141.1,737,53.73134328358209
NZ_JABXCP010000153.1,1430,54.40559440559441
NZ_JAALJG010000524.1,1151,54.12684622067767
NZ_SQCG01000189.1,1533,55.08982035928144
NZ_JAOCNI010000075.1,1153,54.11968777103209
SCJN01000574.1,1656,54.95169082125604
WSIA01000575.1,534,54.30711610486891
VZHX01000756.1,400,52.25
VUDU01000077.1,992,56.75403225806451
MCNL01000086.1,1274,55.416012558869696
NZ_PGJY01000179.1,640,49.0625
NZ_PGKT01000479.1,639,53.990610328638496
NZ_JALLLE010000239.1,560,55.892857142857146
NZ_JALLLE010000238.1,560,55.714285714285715
NZ_QOZZ01001003.1,772,47.66839378238342
NZ_QOZZ01000907.1,1663,48.22609741431149
NZ_JAKFZI010000544.1,266,57.89473684210527
NZ_JAKFZI010000543.1,266,58.64661654135338
NZ_NLSG01000489.1,515,48.15533980582524
NZ_NLWB01000258.1,247,53.84615384615385
LC807390.1,1324,51.66163141993958
NZ_BLBU01000274.1,1415,53.851590106007066
NZ_BLBW01000651.1,374,36.898395721925134
NZ_BLBW01000574.1,1711,42.78199883109293
NZ_JAPTOK010000080.1,554,57.2202166064982
NZ_JAPTOK010000079.1,554,57.761732851985556
NZ_JAPTOK010000060.1,1516,54.089709762532976
NZ_JAPTPP010000079.1,552,57.789855072463766
NZ_JAPTPP010000078.1,552,57.2463768115942
NZ_JAPTPP010000058.1,1517,54.054054054054056
NZ_JAQMZG010000380.1,240,50.416666666666664
NZ_JAXBSQ010000126.1,388,51.03092783505154
NZ_JBANPU010000107.1,1333,46.96174043510878
NZ_JBANPR010000110.1,1333,46.96174043510878
NZ_JBANOT010000157.1,468,57.90598290598291
NZ_JBANOT010000156.1,468,57.47863247863248
NZ_JASKOE010000545.1,567,50.44091710758377
NZ_JAOCNI010000743.1,211,55.45023696682464
NZ_JAJPUM010000249.1,1840,55.27173913043478
NZ_JADOYS010000667.1,720,50.83333333333333
NZ_JADOYS010000238.1,723,56.15491009681881
NZ_NWPQ01000314.1,250,48.0
NZ_JAYKFR010000158.1,442,46.83257918552036
NZ_JAYKFH010000061.1,424,47.87735849056604
NZ_JAYKFK010000074.1,458,49.12663755458515
NZ_JAYKFJ010000076.1,424,56.367924528301884
NZ_JAZEUR010000218.1,667,53.223388305847074
NZ_JAZEUR010000088.1,1076,50.0
NZ_PGOF01000221.1,233,35.1931330472103
NZ_JAWCXI010000322.1,224,58.92857142857143
NZ_JAWCXL010000294.1,215,49.30232558139535
NZ_JAWCXJ010000216.1,224,58.92857142857143
NZ_JAWCXS010000345.1,210,53.333333333333336
NZ_JAWCZY010000183.1,224,57.58928571428571
NZ_JAJOGD010000228.1,391,46.80306905370844
PP210101.1,843,48.517200474495844
NZ_JAVHUR010000573.1,735,52.38095238095239
NZ_JAVUPD010001496.1,232,53.879310344827594
NZ_JAVUPD010000434.1,357,56.582633053221286
NZ_JAVUPD010000120.1,773,58.47347994825356
NZ_JANCZM010000126.1,1823,50.575973669775095
NZ_JANCZO010000264.1,560,39.285714285714285
NZ_CAIZEY010000334.1,207,48.792270531400966
NZ_JAKMCD010000715.1,294,48.97959183673469
NZ_JAKMBP010000369.1,250,57.99999999999999
NZ_JAKMBR010000582.1,246,54.47154471544715
NZ_JAKMCL010000625.1,244,47.950819672131146
NZ_JAKMCL010000451.1,329,51.06382978723404
NZ_JAJARC010000160.1,422,50.23696682464455
NZ_SERV01000144.1,255,53.333333333333336
NZ_SERV01000141.1,255,54.90196078431373
NZ_SERV01000104.1,379,51.187335092348285
NZ_SERV01000087.1,480,57.70833333333333
NZ_JAKFUB010000128.1,1151,53.431798436142486
NZ_JAKFSS010000096.1,780,57.43589743589743
NZ_JAKFSS010000095.1,780,57.43589743589743
NZ_JAKFSS010000074.1,1383,54.229934924078094
NZ_CCQT01000135.1,1119,48.793565683646115
NZ_CCQQ01000116.1,1107,49.23215898825654
NZ_JALSGF010000752.1,296,55.067567567567565
NZ_VKOU01000247.1,460,51.08695652173913
NZ_JAJCFL010000228.1,221,47.511312217194565
NZ_JAHTGQ010000161.1,409,50.61124694376527
NZ_JAHTGQ010000160.1,409,50.8557457212714
NZ_JAIZZG010000075.1,1654,53.869407496977026
NZ_CAJSLO010000311.1,227,51.541850220264315
NZ_CAJSIT010000424.1,212,53.301886792452834
NZ_JAIMGT010000240.1,269,58.36431226765799
NZ_JAHCWX010000222.1,398,56.03015075376885
NZ_JAHCWX010000212.1,480,57.70833333333333
NZ_JAHCWX010000209.1,512,53.90625
NZ_JAHCWX010000201.1,626,52.55591054313099
NZ_JAHCWX010000200.1,634,52.208201892744476
NZ_JAHCWX010000185.1,955,54.973821989528794
NZ_JAINSC010000068.1,379,50.92348284960422
NZ_JAINSC010000053.1,585,52.991452991452995
NZ_CAMPQZ010000124.1,232,50.86206896551724
NZ_CAMPRO010000756.1,263,55.51330798479087
NZ_CAMPQN010000114.1,382,49.21465968586388
NZ_CAMPRF010000209.1,229,50.65502183406113
NZ_CAMPRN010000109.1,244,50.81967213114754
NZ_CAMPRP010000526.1,365,54.24657534246575
NZ_CAMPRA010000395.1,242,55.78512396694215
NZ_CAMPQX010000466.1,337,50.445103857566764
NZ_JAODWX010000135.1,468,57.692307692307686
NZ_JAODWX010000134.1,468,57.47863247863248
NZ_JAODWX010000096.1,976,53.58606557377049
NZ_JAVXXR010000186.1,315,50.79365079365079
NZ_JAVXXU010000105.1,276,52.17391304347826
NZ_CYBF01000366.1,455,45.934065934065934
NZ_JAVUOZ010000614.1,370,44.86486486486487
NZ_JAVUOZ010000551.1,398,59.04522613065326
NZ_JAVUOZ010000319.1,532,55.45112781954887
NZ_JAVUPC010000692.1,266,56.766917293233085
NZ_JAVUPC010000403.1,352,56.53409090909091
NZ_JAVUPC010000400.1,353,56.09065155807366
NZ_JAVUPF010000560.1,303,57.0957095709571
NZ_JAVUPF010000552.1,306,57.18954248366013
NZ_JAVUPK010001228.1,268,44.02985074626866
NZ_JAGMPD010000204.1,279,51.25448028673835
NZ_JAGMPD010000203.1,279,51.61290322580645
NZ_JAGMPD010000188.1,377,55.96816976127321
NZ_JAGMPD010000181.1,418,54.78468899521531
NZ_JAGMPD010000180.1,246,53.2520325203252
